Processor Settings
R: 2
k0: 3
k1: 2
k2: 1
F: 4

CYCLE	OPERATION	INSTRUCTION
1	FETCHED		1
1	FETCHED		2
1	FETCHED		3
1	FETCHED		4
2	DISPATCHED	1
2	DISPATCHED	2
2	DISPATCHED	3
2	DISPATCHED	4
2	FETCHED		5
2	FETCHED		6
2	FETCHED		7
2	FETCHED		8
3	SCHEDULED	1
3	SCHEDULED	2
3	SCHEDULED	3
3	SCHEDULED	4
3	DISPATCHED	5
3	DISPATCHED	6
3	DISPATCHED	7
3	DISPATCHED	8
3	FETCHED		9
3	FETCHED		10
3	FETCHED		11
3	FETCHED		12
4	SCHEDULED	5
4	SCHEDULED	6
4	SCHEDULED	7
4	SCHEDULED	8
4	DISPATCHED	9
4	DISPATCHED	10
4	DISPATCHED	11
4	DISPATCHED	12
4	FETCHED		13
4	FETCHED		14
4	FETCHED		15
4	FETCHED		16
5	EXECUTED	2
5	EXECUTED	3
5	EXECUTED	4
5	EXECUTED	1
5	STATE UPDATE	1
5	STATE UPDATE	2
5	SCHEDULED	9
5	SCHEDULED	10
5	SCHEDULED	11
5	SCHEDULED	12
5	DISPATCHED	13
5	DISPATCHED	14
5	DISPATCHED	15
5	DISPATCHED	16
5	FETCHED		17
5	FETCHED		18
5	FETCHED		19
5	FETCHED		20
6	EXECUTED	5
6	EXECUTED	6
6	EXECUTED	8
6	STATE UPDATE	3
6	STATE UPDATE	4
6	SCHEDULED	13
6	SCHEDULED	14
6	DISPATCHED	17
6	DISPATCHED	18
6	DISPATCHED	19
6	DISPATCHED	20
6	FETCHED		21
6	FETCHED		22
6	FETCHED		23
6	FETCHED		24
7	EXECUTED	7
7	EXECUTED	12
7	STATE UPDATE	5
7	STATE UPDATE	6
7	SCHEDULED	15
7	SCHEDULED	16
7	DISPATCHED	21
7	DISPATCHED	22
7	DISPATCHED	23
7	DISPATCHED	24
7	FETCHED		25
7	FETCHED		26
7	FETCHED		27
7	FETCHED		28
8	EXECUTED	13
8	EXECUTED	9
8	STATE UPDATE	8
8	STATE UPDATE	7
8	SCHEDULED	17
8	SCHEDULED	18
8	DISPATCHED	25
8	DISPATCHED	26
8	DISPATCHED	27
8	DISPATCHED	28
8	FETCHED		29
8	FETCHED		30
8	FETCHED		31
8	FETCHED		32
9	EXECUTED	14
9	EXECUTED	10
9	STATE UPDATE	12
9	STATE UPDATE	9
9	SCHEDULED	19
9	SCHEDULED	20
9	DISPATCHED	29
9	DISPATCHED	30
9	DISPATCHED	31
9	DISPATCHED	32
9	FETCHED		33
9	FETCHED		34
9	FETCHED		35
9	FETCHED		36
10	EXECUTED	15
10	EXECUTED	11
10	STATE UPDATE	13
10	STATE UPDATE	10
10	SCHEDULED	21
10	SCHEDULED	22
10	DISPATCHED	33
10	DISPATCHED	34
10	DISPATCHED	35
10	DISPATCHED	36
10	FETCHED		37
10	FETCHED		38
10	FETCHED		39
10	FETCHED		40
11	EXECUTED	17
11	EXECUTED	16
11	STATE UPDATE	14
11	STATE UPDATE	11
11	SCHEDULED	23
11	SCHEDULED	24
11	DISPATCHED	37
11	DISPATCHED	38
11	DISPATCHED	39
11	DISPATCHED	40
11	FETCHED		41
11	FETCHED		42
11	FETCHED		43
11	FETCHED		44
12	EXECUTED	22
12	EXECUTED	18
12	STATE UPDATE	15
12	STATE UPDATE	16
12	SCHEDULED	25
12	SCHEDULED	26
12	DISPATCHED	41
12	DISPATCHED	42
12	DISPATCHED	43
12	DISPATCHED	44
12	FETCHED		45
12	FETCHED		46
12	FETCHED		47
12	FETCHED		48
13	EXECUTED	23
13	EXECUTED	19
13	STATE UPDATE	17
13	STATE UPDATE	18
13	SCHEDULED	27
13	SCHEDULED	28
13	DISPATCHED	45
13	DISPATCHED	46
13	DISPATCHED	47
13	DISPATCHED	48
13	FETCHED		49
13	FETCHED		50
13	FETCHED		51
13	FETCHED		52
14	EXECUTED	24
14	EXECUTED	20
14	STATE UPDATE	22
14	STATE UPDATE	19
14	SCHEDULED	29
14	SCHEDULED	30
14	DISPATCHED	49
14	DISPATCHED	50
14	DISPATCHED	51
14	DISPATCHED	52
14	FETCHED		53
14	FETCHED		54
14	FETCHED		55
14	FETCHED		56
15	EXECUTED	25
15	EXECUTED	21
