CYCLE	OPERATION	INSTRUCTION
1	FETCHED	1
1	FETCHED	2
1	FETCHED	3
1	FETCHED	4
2	DISPATCHED	1
2	DISPATCHED	2
2	DISPATCHED	3
2	DISPATCHED	4
2	FETCHED	5
2	FETCHED	6
2	FETCHED	7
2	FETCHED	8
3	SCHEDULED	1
3	SCHEDULED	2
3	SCHEDULED	3
3	DISPATCHED	5
3	DISPATCHED	6
3	DISPATCHED	7
3	DISPATCHED	8
3	FETCHED	9
3	FETCHED	10
3	FETCHED	11
3	FETCHED	12
4	EXECUTED	1
4	EXECUTED	2
4	EXECUTED	3
4	SCHEDULED	5
4	SCHEDULED	6
4	SCHEDULED	7
4	DISPATCHED	9
4	DISPATCHED	10
4	DISPATCHED	11
4	DISPATCHED	12
4	FETCHED	13
4	FETCHED	14
4	FETCHED	15
4	FETCHED	16
5	STATE UPDATE	1
5	STATE UPDATE	2
5	EXECUTED	6
5	EXECUTED	7
5	EXECUTED	5
5	SCHEDULED	4
5	FETCHED	17
5	FETCHED	18
5	FETCHED	19
5	FETCHED	20
6	STATE UPDATE	3
6	STATE UPDATE	5
6	EXECUTED	4
6	SCHEDULED	9
6	SCHEDULED	11
6	DISPATCHED	13
6	DISPATCHED	14
6	FETCHED	21
6	FETCHED	22
6	FETCHED	23
6	FETCHED	24
7	STATE UPDATE	6
7	STATE UPDATE	7
7	EXECUTED	9
7	EXECUTED	11
7	SCHEDULED	8
7	DISPATCHED	15
7	DISPATCHED	16
7	FETCHED	25
7	FETCHED	26
7	FETCHED	27
7	FETCHED	28
8	STATE UPDATE	4
8	STATE UPDATE	9
8	EXECUTED	8
8	DISPATCHED	17
8	DISPATCHED	18
8	FETCHED	29
8	FETCHED	30
8	FETCHED	31
8	FETCHED	32
9	STATE UPDATE	8
9	STATE UPDATE	11
9	SCHEDULED	10
9	SCHEDULED	12
9	DISPATCHED	19
9	DISPATCHED	20
9	FETCHED	33
9	FETCHED	34
9	FETCHED	35
9	FETCHED	36
10	EXECUTED	10
10	EXECUTED	12
10	SCHEDULED	17
10	SCHEDULED	20
10	DISPATCHED	21
10	DISPATCHED	22
10	FETCHED	37
10	FETCHED	38
10	FETCHED	39
10	FETCHED	40
11	STATE UPDATE	10
11	STATE UPDATE	12
11	EXECUTED	20
11	EXECUTED	17
11	SCHEDULED	13
11	SCHEDULED	15
11	SCHEDULED	21
11	SCHEDULED	22
11	FETCHED	41
11	FETCHED	42
11	FETCHED	43
11	FETCHED	44
12	STATE UPDATE	17
12	STATE UPDATE	20
12	EXECUTED	13
12	EXECUTED	21
12	EXECUTED	22
12	EXECUTED	15
12	SCHEDULED	19
12	DISPATCHED	23
12	DISPATCHED	24
12	FETCHED	45
12	FETCHED	46
12	FETCHED	47
12	FETCHED	48
13	STATE UPDATE	13
13	STATE UPDATE	15
13	EXECUTED	19
13	SCHEDULED	14
13	SCHEDULED	23
13	DISPATCHED	25
13	DISPATCHED	26
13	FETCHED	49
13	FETCHED	50
13	FETCHED	51
13	FETCHED	52
14	STATE UPDATE	21
14	STATE UPDATE	22
14	EXECUTED	23
14	EXECUTED	14
14	SCHEDULED	25
14	SCHEDULED	26
14	DISPATCHED	27
14	DISPATCHED	28
14	FETCHED	53
14	FETCHED	54
14	FETCHED	55
14	FETCHED	56
15	STATE UPDATE	14
15	STATE UPDATE	19
15	EXECUTED	25
15	EXECUTED	26
15	SCHEDULED	16
15	SCHEDULED	18
15	SCHEDULED	27
15	DISPATCHED	29
15	DISPATCHED	30
15	FETCHED	57
15	FETCHED	58
15	FETCHED	59
15	FETCHED	60
16	STATE UPDATE	23
16	STATE UPDATE	25
16	EXECUTED	27
16	EXECUTED	16
16	EXECUTED	18
16	SCHEDULED	24
16	SCHEDULED	28
16	SCHEDULED	29
16	DISPATCHED	31
16	DISPATCHED	32
16	FETCHED	61
16	FETCHED	62
16	FETCHED	63
16	FETCHED	64
17	STATE UPDATE	16
17	STATE UPDATE	26
17	EXECUTED	24
17	EXECUTED	29
17	EXECUTED	28
17	SCHEDULED	30
17	SCHEDULED	32
17	DISPATCHED	33
17	DISPATCHED	34
17	FETCHED	65
17	FETCHED	66
17	FETCHED	67
17	FETCHED	68
18	STATE UPDATE	18
